         0,         0
         1,         0
         2,         0
         3,         0
         4,         0
         4,         1
         4,         2
         5,         2
         5,         3
         6,         3
         6,         4
         7,         4
         8,         4
         8,         5
         9,         5
        10,         5
        11,         5
        11,         6
        12,         6
        12,         7
        12,         8
        12,         9
        12,        10
        12,        12
        13,        12
        14,        12
        15,        12
        16,        12
        16,        13
        17,        13
        17,        14
        18,        14
        19,        14
        20,        14
