18,5,0
18,6,0
18,7,0
1,8,1
1,9,0
2,9,1
1,10,0
3,10,1
1,11,0
4,11,1
1,12,0
5,12,1
1,13,0
6,13,1
1,14,0
7,14,1
1,15,0
8,15,1
1,16,0
9,16,1
1,17,0
10,17,1
1,18,0
11,18,1
1,19,0
12,19,1
1,20,0
13,20,1
1,21,0
14,21,1
1,22,0
15,22,1
1,23,0
16,23,1
1,24,0
17,24,1
1,25,0
18,25,1
1,26,0
19,26,1
1,27,0
20,27,1
1,28,0
21,28,1
1,29,0
22,29,1
1,30,0
23,30,1
1,31,0
24,31,1
1,32,0
25,32,1
1,33,0
26,33,1
1,34,0
27,34,1
1,35,0
28,35,1
1,36,0
29,36,1
1,37,0
30,37,1
1,38,0
31,38,1
2,39,1
31,39,0
2,40,1
14,40,0
26,41,1
26,42,1
30,42,0
27,43,1
6,44,0
27,44,1
26,45,0
27,45,0
26,46,0
26,47,0
4,48,0
26,48,1
26,49,0
27,49,0
26,50,0
27,50,0
26,53,0
26,54,0
4,55,0
26,55,1
26,56,0
27,56,0
26,57,0
27,57,0
26,60,0
26,61,0
4,62,0
26,62,1
26,63,0
27,63,0
26,64,0
27,64,0
26,67,0
26,68,0
4,69,0
26,69,1
26,70,0
27,70,0
26,71,0
27,71,0
26,74,0
26,75,0
4,76,0
26,76,1
26,77,0
27,77,0
10,78,1
11,79,1
25,80,0
31,80,0
1,81,1
25,81,0
31,81,0
2,82,1
16,82,0
2,83,0
8,83,0
2,84,0
8,84,0
2,85,0
8,85,1
16,85,0
8,86,0
10,86,0
8,87,0
10,87,0
8,88,0
11,88,0
8,89,0
11,89,0
2,90,0
15,90,1
8,91,0
15,91,0
8,92,0
15,92,0
7,93,0
15,93,1
8,94,0
15,94,0
8,95,0
15,95,0
8,96,0
8,97,0
14,97,1
8,98,0
12,98,0
8,99,0
12,99,0
15,99,1
14,100,0
15,100,1
8,101,0
15,101,0
8,102,0
15,102,0
15,103,1
10,104,1
15,104,0
2,105,0
12,105,0
2,106,0
8,106,1
12,106,0
2,107,1
16,107,0
1,108,0
1,109,0
4,110,0
5,110,1
5,111,1
8,111,0
1,112,0
6,112,1
5,113,0
6,113,0
5,114,0
6,114,0
